Review ID,Product,Review,Rating,Word Count,Character Count,Average Word Length,Sentence Count,Exclamation Count,Question Count,Title Word Count,Positive Score,Negative Score,Sentiment
R00001,Power Bank,The quality is acceptable for the price. It meets basic requirements. It serves its intended purpose.,3,16,101,5,3,0,0,3,0.0,0.0,neutral
R00002,Bluetooth Speaker,The design is bulky and uncomfortable. Delivery was delayed and the box was damaged. I would not recommend this product.,2,20,120,5,3,0,0,3,0.0,0.5,negative
R00003,Coffee Maker,The design is sleek and modern. Delivery was fast and the packaging was secure. Setup was quick and easy.,4,19,105,4,3,0,0,3,0.31,0.0,positive
R00004,Laptop Stand,The design is bulky and uncomfortable. Delivery was delayed and the box was damaged. Customer support was difficult to reach.,2,20,125,5,3,0,0,3,0.0,0.5,negative
R00005,USB-C Hub,The packaging was average. It is easy to use after some practice. It serves its intended purpose.,3,17,97,4,3,0,0,3,0.14,0.0,positive
R00006,Laptop Stand,Delivery was fast and the packaging was secure. Customer support was helpful. It works exactly as advertised.,5,17,109,5,3,0,0,3,0.28,0.0,positive
R00007,Bluetooth Speaker,The build quality feels cheap. Customer support was difficult to reach. Setup instructions were confusing.,2,15,106,6,3,0,0,3,0.0,0.13,negative
R00008,Office Chair,The build quality feels cheap. It stopped working after a few days. The design is bulky and uncomfortable.,2,18,106,4,3,0,0,3,0.0,0.1,negative
R00009,Gaming Keyboard,Customer support was difficult to reach. Delivery was delayed and the box was damaged. It is overpriced for the features offered.,2,21,129,5,3,0,0,3,0.0,0.5,negative
R00010,Gaming Keyboard,Customer support was difficult to reach. Delivery was delayed and the box was damaged. It is overpriced for the features offered.,2,21,129,5,3,0,0,3,0.0,0.5,negative
R00011,Gaming Keyboard,The design is bulky and uncomfortable. The build quality feels cheap. It stopped working after a few days.,2,18,106,4,3,0,0,3,0.0,0.1,negative
R00012,Bluetooth Speaker,The design is bulky and uncomfortable. Setup instructions were confusing. Delivery was delayed and the box was damaged.,1,18,119,5,3,0,0,3,0.0,0.4,negative
R00013,Office Chair,Delivery was fast and the packaging was secure. The build quality is excellent. It works exactly as advertised.,4,18,111,5,3,0,0,3,0.46,0.0,positive
R00014,Wireless Mouse,It works exactly as advertised. Setup was quick and easy. Delivery was fast and the packaging was secure.,5,18,105,4,3,0,0,3,0.32,0.0,positive
R00015,Wireless Mouse,The battery life exceeded my expectations. I would definitely recommend this product. The value for money is impressive.,5,18,120,5,3,0,0,3,0.5,0.0,positive
R00016,Power Bank,The product is okay overall. It meets basic requirements. The features are adequate for daily use.,3,16,98,5,3,0,0,3,0.17,0.0,positive
R00017,Gaming Keyboard,Delivery was fast and the packaging was secure. It works exactly as advertised. The value for money is impressive.,5,19,114,5,3,0,0,3,0.46,0.0,positive
R00018,Gaming Keyboard,The design is bulky and uncomfortable. The build quality feels cheap. It stopped working after a few days.,2,18,106,4,3,0,0,3,0.0,0.1,negative
R00019,Wireless Mouse,Performance has been smooth every day. The design is sleek and modern. Setup was quick and easy.,5,17,96,4,3,0,0,3,0.34,0.0,positive
R00020,Laptop Stand,The build quality is excellent. Performance has been smooth every day. It works exactly as advertised.,5,16,102,5,3,0,0,3,0.55,0.0,positive
R00021,Gaming Keyboard,Delivery was fast and the packaging was secure. It works exactly as advertised. The value for money is impressive.,5,19,114,5,3,0,0,3,0.46,0.0,positive
R00022,Coffee Maker,It serves its intended purpose. It has both strengths and weaknesses. The product is okay overall.,3,16,98,5,3,0,0,3,0.25,0.0,positive
R00023,Desk Lamp,It has both strengths and weaknesses. Nothing particularly stands out. It is easy to use after some practice.,3,18,109,5,3,0,0,3,0.3,0.0,positive
R00024,Laptop Stand,Delivery was fast and the packaging was secure. Customer support was helpful. It works exactly as advertised.,5,17,109,5,3,0,0,3,0.28,0.0,positive
R00025,Coffee Maker,The design is sleek and modern. Delivery was fast and the packaging was secure. The value for money is impressive.,5,20,114,4,3,0,0,3,0.45,0.0,positive
R00026,Office Chair,It stopped working after a few days. I would not recommend this product. The battery drains very quickly.,1,18,105,4,3,0,0,3,0.12,0.0,positive
R00027,Bluetooth Speaker,It serves its intended purpose. It has both strengths and weaknesses. The packaging was average.,3,15,96,5,3,0,0,3,0.0,0.15,negative
R00028,Wireless Mouse,The battery life exceeded my expectations. I would definitely recommend this product. The value for money is impressive.,5,18,120,5,3,0,0,3,0.5,0.0,positive
R00029,Desk Lamp,Performance is slower than expected. I would not recommend this product. It is overpriced for the features offered.,2,18,115,5,3,0,0,3,0.0,0.1,negative
R00030,Bluetooth Speaker,The packaging was average. The features are adequate for daily use. Nothing particularly stands out.,3,15,100,5,3,0,0,3,0.09,0.0,positive
R00031,USB-C Hub,It is overpriced for the features offered. The build quality feels cheap. Setup instructions were confusing.,1,16,108,5,3,0,0,3,0.05,0.0,positive
R00032,Power Bank,It has both strengths and weaknesses. The packaging was average. The product performs as expected.,3,15,98,5,3,0,0,3,0.0,0.12,negative
R00033,Bluetooth Speaker,Nothing particularly stands out. It is easy to use after some practice. It serves its intended purpose.,3,17,103,5,3,0,0,3,0.3,0.0,positive
R00034,Smart Watch,It stopped working after a few days. Performance is slower than expected. Delivery was delayed and the box was damaged.,2,20,119,5,3,0,0,3,0.0,0.15,negative
R00035,Desk Lamp,It has both strengths and weaknesses. Nothing particularly stands out. It is easy to use after some practice.,3,18,109,5,3,0,0,3,0.3,0.0,positive
R00036,Smart Watch,It is overpriced for the features offered. The battery drains very quickly. Setup instructions were confusing.,2,16,110,5,3,0,0,3,0.07,0.0,positive
R00037,Coffee Maker,The design is sleek and modern. Delivery was fast and the packaging was secure. Setup was quick and easy.,4,19,105,4,3,0,0,3,0.31,0.0,positive
R00038,USB-C Hub,Nothing particularly stands out. The features are adequate for daily use. The quality is acceptable for the price.,3,18,114,5,3,0,0,3,0.17,0.0,positive
R00039,USB-C Hub,Nothing particularly stands out. The features are adequate for daily use. The quality is acceptable for the price.,3,18,114,5,3,0,0,3,0.17,0.0,positive
R00040,Coffee Maker,The packaging was average. It has both strengths and weaknesses. It meets basic requirements.,3,14,93,5,3,0,0,3,0.0,0.07,negative
R00041,USB-C Hub,Nothing particularly stands out. The features are adequate for daily use. The quality is acceptable for the price.,3,18,114,5,3,0,0,3,0.17,0.0,positive
R00042,Wireless Mouse,The features are adequate for daily use. Nothing particularly stands out. The product performs as expected.,3,16,107,5,3,0,0,3,0.1,0.0,positive
R00043,Desk Lamp,The product is okay overall. The product performs as expected. It is easy to use after some practice.,3,18,101,4,3,0,0,3,0.21,0.0,positive
R00044,Coffee Maker,It serves its intended purpose. It has both strengths and weaknesses. The product is okay overall.,3,16,98,5,3,0,0,3,0.25,0.0,positive
R00045,Wireless Mouse,It works exactly as advertised. Setup was quick and easy. Delivery was fast and the packaging was secure.,5,18,105,4,3,0,0,3,0.32,0.0,positive
R00046,Wireless Mouse,The features are adequate for daily use. Nothing particularly stands out. The product performs as expected.,3,16,107,5,3,0,0,3,0.1,0.0,positive
R00047,Laptop Stand,It works exactly as advertised. I would definitely recommend this product. The value for money is impressive.,4,17,109,5,3,0,0,3,0.42,0.0,positive
R00048,Laptop Stand,Delivery was fast and the packaging was secure. Customer support was helpful. It works exactly as advertised.,5,17,109,5,3,0,0,3,0.28,0.0,positive
R00049,USB-C Hub,It stopped working after a few days. It is overpriced for the features offered. The design is bulky and uncomfortable.,1,20,118,4,3,0,0,3,0.0,0.35,negative
R00050,Office Chair,The design is sleek and modern. Customer support was helpful. Setup was quick and easy.,5,15,87,4,3,0,0,3,0.32,0.0,positive
R00051,Laptop Stand,The value for money is impressive. Customer support was helpful. The battery life exceeded my expectations.,4,16,107,5,3,0,0,3,1.0,0.0,positive
R00052,Office Chair,Delivery was fast and the packaging was secure. Setup was quick and easy. The value for money is impressive.,5,19,108,4,3,0,0,3,0.47,0.0,positive
R00053,Desk Lamp,Performance is slower than expected. I would not recommend this product. It is overpriced for the features offered.,2,18,115,5,3,0,0,3,0.0,0.1,negative
R00054,Desk Lamp,It has both strengths and weaknesses. Nothing particularly stands out. It is easy to use after some practice.,3,18,109,5,3,0,0,3,0.3,0.0,positive
R00055,Bluetooth Speaker,Delivery was fast and the packaging was secure. Setup was quick and easy. The battery life exceeded my expectations.,5,19,116,5,3,0,0,3,0.34,0.0,positive
R00056,Coffee Maker,The value for money is impressive. It works exactly as advertised. The design is sleek and modern.,5,17,98,4,3,0,0,3,0.48,0.0,positive
R00057,Desk Lamp,It stopped working after a few days. It is overpriced for the features offered. Setup instructions were confusing.,2,18,114,5,3,0,0,3,0.0,0.25,negative
R00058,Power Bank,The product is okay overall. It meets basic requirements. The features are adequate for daily use.,3,16,98,5,3,0,0,3,0.17,0.0,positive
R00059,Gaming Keyboard,Delivery was fast and the packaging was secure. It works exactly as advertised. The value for money is impressive.,5,19,114,5,3,0,0,3,0.46,0.0,positive
R00060,Laptop Stand,Performance is slower than expected. The design is bulky and uncomfortable. Setup instructions were confusing.,2,15,110,6,3,0,0,3,0.0,0.3,negative
R00061,Smart Watch,It stopped working after a few days. Performance is slower than expected. Delivery was delayed and the box was damaged.,2,20,119,5,3,0,0,3,0.0,0.15,negative
R00062,Desk Lamp,It has both strengths and weaknesses. Nothing particularly stands out. It is easy to use after some practice.,3,18,109,5,3,0,0,3,0.3,0.0,positive
R00063,USB-C Hub,I would not recommend this product. Setup instructions were confusing. Performance is slower than expected.,2,15,107,6,3,0,0,3,0.0,0.2,negative
